Binomial.1.2,Q
Ammospermophilus_harrisii,399.1448195845337
Ammospermophilus_interpres,521.2791548864378
Ammospermophilus_leucurus,349.9529925035663
Ammospermophilus_nelsoni,500.71146825320136
Ammotragus_lervia,524.7056195860727
Amphinectomys_savamis,1174.8277913993127
Anathana_ellioti,972.6457053002795
Andalgalomys_olrogi,846.8978173776577
Andalgalomys_pearsoni,799.6339966875546
Andinomys_edax,896.4522959142416
Anisomys_imitator,1600.1444164063046
Anomalurus_beecrofti,288.81406746790327
Anomalurus_derbianus,374.7102087214807
Anomalurus_pelii,395.97556115865
Anomalurus_pusillus,145.13188359434793
Anonymomys_mindorensis,991.5326189127044
Anotomys_leander,1110.4871864410288
Anourosorex_assamensis,578.4578059581538
Anourosorex_schmidi,622.4470710675201
Anourosorex_squamipes,472.50396515374854
Anourosorex_yamashinai,497.0501600665263
Antechinomys_laniger,181.42906413451848
Antechinus_adustus,317.5828519604467
Antechinus_agilis,326.809337204832
Antechinus_bellus,324.1206294905391
Antechinus_flavipes,384.7389549558523
Antechinus_godmani,220.2191241502208
Antechinus_leo,363.5778933683044
Antechinus_minimus,526.1218797157071
Antechinus_stuartii,325.02883466897697
Antechinus_subtropicus,333.6723083245422
Antechinus_swainsonii,537.8863121490585
Antidorcas_australis,509.7963232090094
Antidorcas_bondi,491.04658508376724
Antidorcas_marsupialis,547.5518820445333
Antifer_ultra,1209.8019812708012
Antillomys_rayi,1201.7859050766224
Antillothrix_bernensis,317.2532871664613
Antilocapra_americana,551.4529172772565
Antilope_cervicapra,452.71244879126675
Aonyx_capensis,92.56954875616064
Aonyx_cinereus,67.5657726393943
Aonyx_congicus,98.03604824158047
Aotus_azarae,275.7555481613955
Aotus_brumbacki,268.54322113264254
Aotus_griseimembra,309.58273734388587
Aotus_jorgehernandezi,299.1779755389045
Aotus_lemurinus,312.69561575783473
Aotus_miconax,290.11036133536044
Aotus_nancymaae,283.72557793678
Aotus_nigriceps,335.87007194465065
Aotus_trivirgatus,307.9270627646047
Aotus_vociferans,304.7940655148088
Aotus_zonalis,301.26747933322395
Aplodontia_rufa,8319.12248072312
Apodemus_agrarius,1395.0494025236208
Apodemus_alpicola,1478.210582697755
Apodemus_argenteus,1377.5755569157634
Apodemus_avicennicus,1438.8865416376495
Apodemus_chevrieri,1501.45383347773
Apodemus_draco,1340.2762569573852
Apodemus_epimelas,1472.0255405136393
Apodemus_flavicollis,1703.9522726683526
Apodemus_gurkha,1437.7427200424324
Apodemus_hyrcanicus,1468.1021338055834
Apodemus_latronum,1468.8144590227844
Apodemus_mystacinus,1492.5962090028354
Apodemus_pallipes,1402.0276186640326
Apodemus_peninsulae,1443.5336171677357
Apodemus_ponticus,1586.7879963980452
Apodemus_rusiges,1493.623330410658
Apodemus_semotus,1400.2362506361314
Apodemus_speciosus,1396.2308604536042
Apodemus_sylvaticus,1520.2171296457138
Apodemus_uralensis,1294.839718218246
Apodemus_witherbyi,1502.4376352897316
Apomys_abrae,1104.0319878042872
Apomys_camiguinensis,1036.0945369243836
Apomys_datae,1238.794570289629
Apomys_gracilirostris,1206.7057082617468
Apomys_hylocetes,1062.0724035299118
Apomys_insignis,985.77813325103
Apomys_littoralis,988.0483363187651
Apomys_microdon,1006.5499627367128
Apomys_musculus,935.284725666337
Apomys_sacobianus,1187.5057238707136
Arabitragus_jayakari,455.5141103091105
Arborimus_albipes,2325.769923255175
Arborimus_longicaudus,2262.0692540958494
Arborimus_pomo,2489.436027757575
Archaeoindris_fontoynonti,1756.167733024587
Archaeolemur_edwardsi,1344.4737144124224
Archaeolemur_majori,1284.835399206562
Archboldomys_luzonensis,933.4946687862388
Arctictis_binturong,22.773130883029452
Arctocebus_aureus,83.06237210379638
Arctocebus_calabarensis,61.8518072508016
Arctodus_simus,93.17775242629727
Arctogalidia_trivirgata,21.949472137564126
Arctonyx_albogularis,68.10894087707045
Arctonyx_collaris,66.22620889859445
Arctonyx_hoevenii,68.47755212703348
Arctotherium_tarijense,67.20695026561165
Arctotherium_wingei,58.906061090605625
Arvicanthis_abyssinicus,2111.0997094482423
Arvicanthis_ansorgei,2150.4468672771777
Arvicanthis_blicki,2045.3375207052625
Arvicanthis_nairobae,1933.57118547318
Arvicanthis_neumanni,1842.1405511450516
Arvicanthis_niloticus,2214.1953044063353
Arvicanthis_rufinus,2257.2837239068012
Arvicola_amphibius,10964.414952818823
Arvicola_sapidus,7973.394499704115
Arvicola_scherman,7815.841949012614
Atelerix_albiventris,663.1591475158755
Atelerix_algirus,779.131279006911
Atelerix_frontalis,599.9410044802909
Atelerix_sclateri,632.7778780159215
Ateles_belzebuth,530.0619162985922
Ateles_chamek,396.7942933969115
Ateles_fusciceps,574.7445585053154
Ateles_geoffroyi,540.9519911131803
Ateles_hybridus,577.3053565128951
Ateles_marginatus,424.5893415014628
Ateles_paniscus,468.1130208298326
