Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10fmr,se.fmr,log10density,se.dens
Aotus_nigriceps,Primates,Aotidae,Aotus,nigriceps,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1060,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,70,10,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.8327763224292246,0.08761906384627169,1.390717208700812,0.2786191900628854
Aotus_trivirgatus,Primates,Aotidae,Aotus,trivirgatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,900,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,70,10,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.7712120664067945,0.06601945746907724,1.401819758927478,0.2590116859652865
Aotus_vociferans,Primates,Aotidae,Aotus,vociferans,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,873,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,70,10,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.770387595612702,0.08218717599444497,1.3973342202945558,0.27208212302642704
Aotus_zonalis,Primates,Aotidae,Aotus,zonalis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,902.5,Reported,"Campbell, C., Fuentes, A., MacKinnon, K., Panger, M., & Bearder, S (2007)  Primates in Perspective. pp. 139-150. Fernandez-Duque, E. (2007). ""Aotinae"".",NA,NA,Occurs on mainland,DD,No,80,0,20,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.7878241671092807,0.0897826177538402,1.3725345364711845,0.3505914111558965
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia,rufa,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1004,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",3.0503342275950054,0.0480773831723993,2.493530868068915,0.40905648658468663
Apodemus_agrarius,Rodentia,Muridae,Apodemus,agrarius,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,23.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.7856171742738909,0.06477848204581281,2.969692017272495,0.2633264464176803
Apodemus_alpicola,Rodentia,Muridae,Apodemus,alpicola,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,28.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.8790397620005062,0.05148677166143723,2.9536811706434314,0.26889882297634415
Apodemus_argenteus,Rodentia,Muridae,Apodemus,argenteus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,21,Reported,Journal of Mammalogy 81: 758-768 (2000),NA,NA,Occurs on large land bridge islands,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.7537132307036996,0.06386484493711862,2.9868550225919948,0.29483490979521737
Apodemus_avicennicus,Rodentia,Muridae,Apodemus,avicennicus,1,0,0,0,Imputed,PHYLACINE 1.2,30.7,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,DD,No,80,0,20,Imputed 000 Species,PHYLACINE 1.2,1.8945319534659408,0.05923764591337027,2.9205008543422646,0.2763679879631526
Apodemus_chevrieri,Rodentia,Muridae,Apodemus,chevrieri,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,32.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.8881553850018524,0.06506489343008892,2.8942143108097347,0.2770919667614443
