Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10fmr,se.fmr,log10density,se.dens
Mephitis_mephitis,Carnivora,Mephitidae,Mephitis,mephitis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,2085,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,50,30,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",3.0101788555555555,0.07990195143497598,0.6305983983879186,0.3233863228688184
Meriones_arimalius,Rodentia,Muridae,Meriones,arimalius,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,87.6,Assumed isometric based on head-body length,Proceedings of the Zoological Society of London 118: 765-816(1948-1949),Meriones_crassus,Proceedings of the Zoological Society of London 118: 765-816(1948-1949),Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.044170333333333,0.05969774784519633,2.533413015365159,0.3243144570802902
Meriones_chengi,Rodentia,Muridae,Meriones,chengi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,91.3,Assumed isometric based on head-body length,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Meriones_libycus,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.057856111111111,0.05970974716427545,2.5261088101751215,0.31982602686692396
Meriones_crassus,Rodentia,Muridae,Meriones,crassus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,80,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.0051742555555556,0.05626955889907765,2.557388772302794,0.3194785862303526
Meriones_dahli,Rodentia,Muridae,Meriones,dahli,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,34.1,Assumed isometric based on head-body length,"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",Meriones_meridianus,"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",Occurs on mainland,EN,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.7620753111111112,0.06001650939119297,2.742105396774569,0.323909369804715
Meriones_grandis,Rodentia,Muridae,Meriones,grandis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,205,Reported,"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,Occurs on mainland,LC,No,80,0,20,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.3008013333333333,0.05932506195808567,2.348118917657549,0.3176386264668762
Meriones_hurrianae,Rodentia,Muridae,Meriones,hurrianae,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,70,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.9628573777777776,0.05966311268477999,2.5797776606342344,0.32240912362218455
Meriones_libycus,Rodentia,Muridae,Meriones,libycus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,91.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.058536,0.05969154279970563,2.532735420796182,0.3213758371454851
Meriones_meridianus,Rodentia,Muridae,Meriones,meridianus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,41,Reported,"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.8176089111111111,0.05938612364761726,2.6946398816475226,0.3240114498146071
Meriones_persicus,Rodentia,Muridae,Meriones,persicus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,100,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.0773997,0.06659662657444203,2.4672815964316257,0.28797245867189625
