Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10FMR_est,se.fmr,log10dens.est,se.dens
Nycticebus_coucang,Primates,Lorisidae,Nycticebus,coucang,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,803.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,20,40,40,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.607253682522692,0.08838977822185164,1.4757248779490335,0.035894644044335997
Nycticebus_javanicus,Primates,Lorisidae,Nycticebus,javanicus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,803.5,Assumed isometric based on head-body length,Journal of Biogeography 35: 1087-1094 (2008),Nycticebus_coucang,Journal of Biogeography 35: 1087-1094 (2008),Occurs on large land bridge islands,CR,No,80,0,20,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.6093717244975694,0.08889724728590416,1.4757248779490335,0.035894644044335997
Nycticebus_menagensis,Primates,Lorisidae,Nycticebus,menagensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,803.5,Assumed isometric based on head-body length,Journal of Biogeography 35: 1087-1094 (2008),Nycticebus_coucang,Journal of Biogeography 35: 1087-1094 (2008),Occurs on large land bridge islands,VU,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",2.6301856480066372,0.0976038410963077,1.4757248779490335,0.035894644044335997
Nycticebus_pygmaeus,Primates,Lorisidae,Nycticebus,pygmaeus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,900,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,20,40,40,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.687416540117479,0.10499173123964183,1.4472580158293074,0.035677640129352116
Nyctomys_sumichrasti,Rodentia,Cricetidae,Nyctomys,sumichrasti,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,49.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1.9807928492590323,0.09972495796883411,2.8488933210910554,0.04797624423964334
Ochotona_alpina,Lagomorpha,Ochotonidae,Ochotona,alpina,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,263,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.596178160760787,0.11698697311297279,3.350217894507972,0.22208630128959853
Ochotona_argentata,Lagomorpha,Ochotonidae,Ochotona,argentata,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,206,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,EN,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",2.5226568844812816,0.11702809689782183,3.358014182754436,0.21201082416150754
Ochotona_cansus,Lagomorpha,Ochotonidae,Ochotona,cansus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,74.5,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.244899646482926,0.10369908920803275,3.3904748637562117,0.1733182035484052
Ochotona_collaris,Lagomorpha,Ochotonidae,Ochotona,collaris,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,129,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.3834761986198583,0.1032334752349939,3.372952744827111,0.19345794542919556
Ochotona_coreana,Lagomorpha,Ochotonidae,Ochotona,coreana,1,0,0,0,Imputed,PHYLACINE 1.2,123.7,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,DD,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2,2.3900683497271586,0.10813673181902524,3.3742917063298714,0.19185091512756527
Ochotona_curzoniae,Lagomorpha,Ochotonidae,Ochotona,curzoniae,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,162.5,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4823471827360692,0.10403971940172459,3.3655845178473065,0.20247341892275078
Ochotona_dauurica,Lagomorpha,Ochotonidae,Ochotona,dauurica,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,130,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.428462049665182,0.09147495343005028,3.3727062906606733,0.19375483603393576
Ochotona_erythrotis,Lagomorpha,Ochotonidae,Ochotona,erythrotis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,268,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5693049716405754,0.1427878808950172,3.3496168286082666,0.22287277783436585
Ochotona_forresti,Lagomorpha,Ochotonidae,Ochotona,forresti,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,129,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.3628591813899043,0.13329230116008547,3.372952744827111,0.19345794542919556
Ochotona_gloveri,Lagomorpha,Ochotonidae,Ochotona,gloveri,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,220,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.5108286154098103,0.13849683290293577,3.3559156844092666,0.21469896828717577
Ochotona_hoffmanni,Lagomorpha,Ochotonidae,Ochotona,hoffmanni,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,167.8,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,EN,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",2.4603115935209003,0.11685638928406963,3.364560191499333,0.2037484553738841
Ochotona_hyperborea,Lagomorpha,Ochotonidae,Ochotona,hyperborea,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,156,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.437388094772343,0.11640145074187322,3.366887378580003,0.200859047398128
