reference	community type	ecosystem type	NPP (gC m-2 y-1)	leaf P (gC m-2 y-1)	DP (gCm-2 yr-1)	leaf DP (gC m-2 yr-1)	D (gC m-2 y-1)	DB (gC m-2)	H (gC m-2 y-1)	%NPP consumed	HB (gC m-2)	TC (gC m-2 y-1)	CA  (gC m-2 y-1)	Nbiomass (%DW)	Pbiomass (%DW)	k (day-1)	Ndetritus (%DW)	Pdetritus (%DW)	Ndp(%DW)	Pdp(%DW)
Harris et al. 1975*	temperate and tropical shrublands and forests	terrestrial	725.985000	.	721.495500	.	668.972000	64.9	4.489500	0.618401	0.101	673.461500	55.991000	0.3389	0.0619	0.002658	.	.	.	.
Haukioja and Koponen 1975	temperate and tropical shrublands and forests	terrestrial	67.999865	.	64.439874	.	.	.	3.559991	5.235291	0.042672096	.	.	.	.	.	.	.	.	.
Hemminga and Buth 1991	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.009000	2.090000	.	.	.
Hemminga and Buth 1991	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.002500	2.060000	.	.	.
Hemminga and Buth 1991	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.004800	2.150000	.	.	.
Hemminga and Buth 1991	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.009000	1.700000	.	.	.
Johnson and Rissor 1974 *	temperate and tropical shrublands and forests	terrestrial	596.045000	.	.	.	.	.	.	.	.	.	.	0.530000	0.046000	.	.	.	.	.
Kira 1978	temperate and tropical shrublands and forests	terrestrial	846.800000	.	.	.	390.550000	.	.	.	.	.	171.550000	.	.	.	.	.	.	.
Leigh and Windsor 1983	temperate and tropical shrublands and forests	terrestrial	280.320000	.	243.820000	.	.	.	36.500000	13.020833	.	.	.	.	.	.	.	.	.	.
Lowman 1988	temperate and tropical shrublands and forests	terrestrial	228.490000	.	162.060000	.	161.793760	.	50.005000	21.884984	.	211.798760	.	.	.	0.017619	.	.	.	.
Lowman 1988	temperate and tropical shrublands and forests	terrestrial	193.815000	.	141.255000	.	109.670000	.	52.925000	27.306968	.	162.595000	.	.	.	0.004117	.	.	.	.
Lowman 1988	temperate and tropical shrublands and forests	terrestrial	245.280000	.	223.745000	.	223.734590	.	35.186000	14.345238	.	258.920590	.	.	.	0.027415	.	.	.	.
McClaugherty et al. 1985	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.002200	0.660000	.	.	.
McClaugherty et al. 1985	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.001600	0.660000	.	.	.
McClaugherty et al. 1985	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.001500	0.670000	.	.	.
McClaugherty et al. 1985	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000800	0.070000	.	.	.
McInnes et al. 1992	temperate and tropical shrublands and forests	terrestrial	490.001550	.	262.000650	.	.	.	228.000900	46.530649	.	.	.	1.390000	.	.	.	.	.	.
McInnes et al. 1992	temperate and tropical shrublands and forests	terrestrial	228.000900	.	164.001800	.	.	.	63.999100	28.069670	.	.	.	1.210000	.	.	.	.	.	.
McInnes et al. 1992	temperate and tropical shrublands and forests	terrestrial	353.998900	.	201.998300	.	.	.	152.000600	42.938156	.	.	.	1.260000	.	.	.	.	.	.
McInnes et al. 1992	temperate and tropical shrublands and forests	terrestrial	301.999905	.	241.999745	.	.	.	60.000160	19.867609	.	.	.	1.370000	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	13.21169908	.	.	.	.	.	.	.	0.013483001	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	41.15399548	.	.	.	.	.	.	.	0.015895208	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	56.46689392	.	.	.	.	.	.	.	0.022091513	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	75.99143688	.	.	.	.	.	.	.	0.254805335	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	269.3346511	.	.	.	.	.	.	.	0.026663458	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	367.1727248	.	.	.	.	.	.	.	0.148370268	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	615.414014	.	.	.	.	.	.	.	0.865366424	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	423.206256	.	.	.	.	.	.	.	0.668151443	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	326.8914747	.	.	.	.	.	.	.	1.260613775	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	210.7420355	.	.	.	.	.	.	.	2.164929131	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	232.1704014	.	.	.	.	.	.	.	1.290605239	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical shrublands and forests	terrestrial	250.8715411	.	.	.	.	.	.	.	0.427423874	.	.	.	.	.	.	.	.	.
Megonigal and Day 1988*¶	temperate and tropical shrublands and forests	terrestrial	927.100000	243.090000	788.400000	202.940000	272.399500	.	40.515000	4.370079	.	312.914500	665.979000	1.220000	0.080000	0.001392	.	.	1.220000	0.080000
Megonigal and Day 1988*¶	temperate and tropical shrublands and forests	terrestrial	749.564000	233.235000	594.950000	214.255000	241.998650	.	18.797500	2.507791	.	260.796150	415.589000	1.470000	0.090000	0.001777	.	.	1.470000	0.090000
Megonigal and Day 1988*¶	temperate and tropical shrublands and forests	terrestrial	869.977500	239.440000	671.600000	211.335000	261.199840	.	28.397000	3.264107	.	289.596840	557.610500	1.770000	0.120000	0.001626	.	.	1.770000	0.120000
Megonigal and Day 1988*¶	temperate and tropical shrublands and forests	terrestrial	1234.795000	209.145000	1164.350000	182.500000	272.399865	.	26.791000	2.169672	.	299.190865	929.582000	1.190000	0.070000	0.000938	.	.	1.190000	0.070000
Menhinick 1967@	temperate and tropical shrublands and forests	terrestrial	221.920000	.	219.000000	.	79.460000	.	2.029400	0.914474	0.515881294	81.489400	.	.	.	0.001239	.	.	.	.
Mitchell et al. 1986	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000200	0.530000	0.023000	.	.
Nielsen 1978	temperate and tropical shrublands and forests	terrestrial	114.610000	.	111.325000	.	.	.	3.478450	3.035032	.	.	.	.	.	.	.	.	.	.
Nihlgard 1972*	temperate and tropical shrublands and forests	terrestrial	711.750000	.	.	.	.	.	.	.	.	.	.	0.320000	0.026600	.	.	.	.	.
O'Connell 1987	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.001000	0.710000	0.010000	.	.
O'Connell 1988	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000500	0.210000	0.027000	.	.
O'Connell 1988	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.001500	0.410000	0.010000	.	.
O'Connell 1988	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000300	0.210000	0.008000	.	.
O'Connell 1988	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000600	0.130000	0.004000	.	.
Odum et al. 1962*	temperate and tropical shrublands and forests	terrestrial	96.735950	.	96.016243	.	.	.	0.719707	0.743991	0.037	.	.	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical shrublands and forests	terrestrial	90.001700	.	.	.	.	.	.	.	.	.	21.998550	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical shrublands and forests	terrestrial	340.001150	.	.	.	.	.	.	.	.	.	40.000350	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical shrublands and forests	terrestrial	249.988500	.	.	.	.	.	.	.	.	.	9.964500	.	.	.	.	.	.	.
Ohmart et al. 1983	temperate and tropical shrublands and forests	terrestrial	74.095000	.	62.415000	.	.	.	1.241000	1.674877	.	.	.	0.530000	0.034000	.	.	.	.	.
Ohmart et al. 1983	temperate and tropical shrublands and forests	terrestrial	65.335000	.	58.765000	.	.	.	1.281150	1.960894	.	.	.	0.570000	0.025100	.	.	.	.	.
Ohmart et al. 1983	temperate and tropical shrublands and forests	terrestrial	89.060000	.	74.460000	.	.	.	2.120650	2.381148	.	.	.	0.580000	0.053700	.	.	.	.	.
Olson 1970*	temperate and tropical shrublands and forests	terrestrial	351.568000	.	.	.	.	.	.	.	.	.	129.976500	.	.	.	.	.	.	.
Pandey and Singh 1992*	temperate and tropical shrublands and forests	terrestrial	699.997000	.	500.013500	.	.	.	199.983500	28.569194	.	.	.	.	.	.	.	.	.	.
Proctor et al. 1983	temperate and tropical shrublands and forests	terrestrial	332.880000	.	292.000000	.	240.380000	.	40.880000	12.280702	.	281.260000	.	1.170000	.	0.004762	.	.	1.170000	.
Proctor et al. 1983	temperate and tropical shrublands and forests	terrestrial	264.260000	.	223.380000	.	169.200000	.	40.880000	15.469613	.	210.080000	.	0.567000	.	0.003893	.	.	0.567000	.
Proctor et al. 1983	temperate and tropical shrublands and forests	terrestrial	318.280000	.	264.260000	.	218.620000	.	54.020000	16.972477	.	272.640000	.	0.900000	.	0.004827	.	.	0.900000	.
Proctor et al. 1983	temperate and tropical shrublands and forests	terrestrial	246.740000	.	216.080000	.	175.300000	.	30.660000	12.426036	.	205.960000	.	0.950000	.	0.004582	.	.	0.950000	.
Reichle and Crossley 1967	temperate and tropical shrublands and forests	terrestrial	89.790000	.	80.300000	.	.	.	7.993500	8.902439	.	.	.	.	.	.	.	.	.	.
Reichle et al. 1973	temperate and tropical shrublands and forests	terrestrial	327.868000	.	324.268000	.	.	.	3.600000	1.098000	.	.	.	0.338900	0.061900	.	.	.	.	.
Schowalter et al. 1981	temperate and tropical shrublands and forests	terrestrial	127.998200	.	119.998130	.	.	.	8.000070	6.250143	0.166879795	.	.	.	.	.	.	.	.	.
Sharma and Ambasht 1987	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.002900	2.560000	0.072000	.	.
Soholt 1973	temperate and tropical shrublands and forests	terrestrial	13.542960	.	12.608487	.	.	.	0.934473	6.900065	.	.	.	.	.	.	.	.	.	.
Svensson and Roswall 1980	temperate and tropical shrublands and forests	terrestrial	56.940000	.	56.575000	.	38.263670	.	0.361350	0.634615	.	38.625020	.	.	.	0.003100	.	.	.	.
Tanner 1980	temperate and tropical shrublands and forests	terrestrial	195.640000	.	.	.	.	.	.	.	.	.	.	1.050000	0.050000	.	.	.	.	.
Taylor et al. 1989	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.002100	0.780000	0.080000	.	.
Taylor et al. 1989	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.001600	0.580000	0.130000	.	.
Taylor et al. 1989	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.003600	1.310000	0.290000	.	.
Taylor et al. 1989	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.001800	0.640000	0.120000	.	.
Taylor et al. 1989	temperate and tropical shrublands and forests	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.002200	0.810000	0.060000	.	.
Van Cleve et al. 1981	temperate and tropical shrublands and forests	terrestrial	51.100000	.	.	.	.	.	.	.	.	.	.	0.390000	0.083300	.	.	.	.	.
Van Cleve et al. 1981	temperate and tropical shrublands and forests	terrestrial	28.798500	.	.	.	.	.	.	.	.	.	.	0.210000	0.033000	.	.	.	.	.
Van Cleve et al. 1983	temperate and tropical shrublands and forests	terrestrial	188.000000	.	.	.	93.330500	.	.	.	.	.	94.666400	0.250000	0.025600	.	.	.	0.250000	0.025600
Van Cleve et al. 1983	temperate and tropical shrublands and forests	terrestrial	226.000000	.	.	.	110.000000	.	.	.	.	.	116.000650	0.240000	0.024500	.	.	.	0.240000	0.024500
Van Cleve et al. 1983	temperate and tropical shrublands and forests	terrestrial	146.400000	.	.	.	54.001750	.	.	.	.	.	92.399750	0.140000	0.017700	.	.	.	0.140000	0.017700
Van Cleve et al. 1983	temperate and tropical shrublands and forests	terrestrial	45.200000	.	.	.	.	.	.	.	.	.	.	0.240000	0.036000	.	.	.	.	.
Van Cleve et al. 1983	temperate and tropical shrublands and forests	terrestrial	220.800000	.	.	.	.	.	.	.	.	.	.	0.210000	0.026800	.	.	.	.	.
Varley 1970	temperate and tropical shrublands and forests	terrestrial	496	.	.	.	.	.	.	.	0.73	.	.	.	.	.	.	.	.	.
Whittaker 1975	temperate and tropical shrublands and forests	terrestrial	157.680000	.	144.540000	.	.	.	12.665500	8.032407	.	.	.	.	.	.	.	.	.	.
Whittaker and Woodwell 1969	temperate and tropical shrublands and forests	terrestrial	342.800700	.	333.080750	.	.	.	9.719950	2.835452	.	.	.	.	.	.	.	.	.	.
Woodwell and Botkin 1970*	temperate and tropical shrublands and forests	terrestrial	478.004000	.	.	.	248.382500	.	.	.	.	.	235.206000	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical shrublands and forests	terrestrial	106	.	.	.	.	9.2	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical shrublands and forests	terrestrial	85.5	.	.	.	.	15	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical shrublands and forests	terrestrial	427.5	.	.	.	.	59.9	.	.	4.1	.	.	0.3389	0.0619	.	.	.	.	.
Zak et al. 1994*	temperate and tropical shrublands and forests	terrestrial	475	.	.	.	.	102.9	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical shrublands and forests	terrestrial	730	.	.	.	.	128.1	.	.	3.6	.	.	0.3222	0.0552	.	.	.	.	.
Zak et al. 1994*	temperate and tropical shrublands and forests	terrestrial	396	.	.	.	.	28.1	.	.	6.2	.	.	0.3055	0.0484	.	.	.	.	.
Aerts 1989	temperate and tropical grasslands	terrestrial	216.080000	.	.	.	.	.	.	.	.	.	.	0.955000	0.035000	0.015300	1.950000	0.580000	.	.
Aerts et al. 1992	temperate and tropical grasslands	terrestrial	45.990000	.	.	.	.	.	.	.	.	.	.	0.700000	0.125000	.	.	.	.	.
Aerts et al. 1992	temperate and tropical grasslands	terrestrial	40.150000	.	.	.	.	.	.	.	.	.	.	1.400000	0.050000	.	.	.	.	.
Auclair et al. 1976@	temperate and tropical grasslands	terrestrial	327.999950	.	.	.	239.476500	.	.	.	.	.	56.085900	.	.	.	.	.	.	.
Boyer and Wheeler 1989	temperate and tropical grasslands	terrestrial	149.650000	.	.	.	.	.	.	.	.	.	.	1.200000	0.700000	.	.	.	.	.
Boyer and Wheeler 1989	temperate and tropical grasslands	terrestrial	88.695000	.	.	.	.	.	.	.	.	.	.	0.940000	0.400000	.	.	.	.	.
Clymo 1984*	temperate and tropical grasslands	terrestrial	226.008000	.	.	.	.	.	.	.	.	.	22.593500	.	.	.	.	.	.	.
Coppock et al. 1983@	temperate and tropical grasslands	terrestrial	76.650000	.	36.135000	.	21.399910	.	36.500000	47.619048	.	57.899910	.	2.230000	.	0.002465	.	.	2.230000	.
Damman 1978	temperate and tropical grasslands	terrestrial	41.573500	.	.	.	.	.	.	.	.	.	.	0.980000	0.084000	.	.	.	.	.
Damman 1978	temperate and tropical grasslands	terrestrial	37.230000	.	.	.	.	.	.	.	.	.	.	0.410000	0.035000	.	.	.	.	.
Day and Detling 1990	temperate and tropical grasslands	terrestrial	56.246500	.	48.928250	.	.	.	7.318250	13.011032	.	.	.	1.080000	.	.	.	.	.	.
Edroma 1984	temperate and tropical grasslands	terrestrial	190.000750	.	143.999800	.	.	.	46.000950	24.210931	.	.	.	.	.	.	.	.	.	.
Frank and McNaughton 1992	temperate and tropical grasslands	terrestrial	120.997500	.	66.539500	.	.	.	54.458000	45.007541	.	.	.	2.100000	.	.	.	.	.	.
Gandar 1982	temperate and tropical grasslands	terrestrial	30.660000	.	17.520000	.	.	.	12.994000	42.380952	.	.	.	.	.	.	.	.	.	.
Gandar 1982	temperate and tropical grasslands	terrestrial	17.520000	.	13.169200	.	.	.	4.336200	24.750000	.	.	.	.	.	.	.	.	.	.
Lock 1972	temperate and tropical grasslands	terrestrial	200.921550	.	143.999800	.	.	.	56.921750	28.330336	.	.	.	.	.	.	.	.	.	.
McNaughton 1985@	temperate and tropical grasslands	terrestrial	265.72(389)	.	90.520000	.	87.595710	361.7	175.200000	65.934066	0.733	262.795710	.	1.470000	0.373000	0.027273	.	.	1.470000	0.373000
McNaughton 1985@	temperate and tropical grasslands	terrestrial	380 (560)	.	100.000000	.	82.300000	123.4	280.000000	73.680000	0.964	362.300000	.	1.860000	0.403900	.	.	.	1.860000	0.403900
McNaughton 1985@	temperate and tropical grasslands	terrestrial	328 (521)	.	80.000000	.	65.200000	187.9	248.000000	75.610000	0.849	313.200000	.	2.520000	0.444000	.	.	.	2.520000	0.444000
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	62.61138244	.	.	.	.	.	.	.	0.023706072	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	43.89844399	.	.	.	.	.	.	.	0.106754852	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	172.5186675	.	.	.	.	.	.	.	0.120072762	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	103.5959644	.	.	.	.	.	.	.	0.17491478	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	105.6218997	.	.	.	.	.	.	.	0.226543517	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	136.7421673	.	.	.	.	.	.	.	0.580238655	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	611.4538298	.	.	.	.	.	.	.	3.989692704	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	520.3204158	.	.	.	.	.	.	.	3.989692704	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	324.7879307	.	.	.	.	.	.	.	0.540720122	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	306.4548318	.	.	.	.	.	.	.	0.608176183	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	469.2577704	.	.	.	.	.	.	.	1.451611169	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	428.7059422	.	.	.	.	.	.	.	1.35274574	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	396.7481933	.	.	.	.	.	.	.	1.174756677	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	371.9442393	.	.	.	.	.	.	.	1.321310236	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	287.2958496	.	.	.	.	.	.	.	1.020186728	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	255.7776153	.	.	.	.	.	.	.	0.825614459	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	196.2954971	.	.	.	.	.	.	.	0.825614459	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	250.8715411	.	.	.	.	.	.	.	1.451611169	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	212.106942	.	.	.	.	.	.	.	1.120792384	.	.	.	.	.	.	.	.	.
McNaughton et al. 1989	temperate and tropical grasslands	terrestrial	212.106942	.	.	.	.	.	.	.	0.354134121	.	.	.	.	.	.	.	.	.
Miller et al. 1984*	temperate and tropical grasslands	terrestrial	85.994000	.	.	.	.	.	.	.	.	.	50.399200	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical grasslands	terrestrial	314.998650	.	.	.	.	.	.	.	.	.	28.999250	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical grasslands	terrestrial	134.998900	.	.	.	.	.	.	.	.	.	10.001000	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical grasslands	terrestrial	13.979500	.	.	.	.	.	.	.	.	.	4.000400	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical grasslands	terrestrial	89.998000	.	.	.	.	.	.	.	.	.	22.998650	.	.	.	.	.	.	.
Oechel and Billings 1992*	temperate and tropical grasslands	terrestrial	107.999850	.	.	.	.	.	.	.	.	.	26.999050	.	.	.	.	.	.	.
Pakarinen 1978	temperate and tropical grasslands	terrestrial	115.340000	.	.	.	.	.	.	.	.	.	.	0.830000	0.004700	.	.	.	.	.
Pakarinen 1978	temperate and tropical grasslands	terrestrial	76.650000	.	.	.	.	.	.	.	.	.	.	0.700000	0.035000	.	.	.	.	.
Palm and Sanchez 1990	temperate and tropical grasslands	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.002500	3.180000	0.220000	.	.
Palm and Sanchez 1990	temperate and tropical grasslands	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.004700	3.480000	0.180000	.	.
Palm and Sanchez 1990	temperate and tropical grasslands	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.009500	3.520000	0.210000	.	.
Ritchie et al. 1998	temperate and tropical grasslands	terrestrial	99.999000	.	54.998150	.	.	.	45.000850	45.001300	.	.	.	1.450000	.	.	.	.	.	.
Scott et al. 1979@	temperate and tropical grasslands	terrestrial	121.600000	.	112.280000	.	99.910000	.	9.320000	7.660000	0.216136885	109.230000	.	1.625000	0.180000	.	.	.	1.625000	0.180000
Seastedt 1988*	temperate and tropical grasslands	terrestrial	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000900	0.180000	0.015000	.	.
Sinclair 1975	temperate and tropical grasslands	terrestrial	188.340000	.	116.800000	.	.	.	71.540000	37.984496	1.147457335	.	.	.	.	.	.	.	.	.
Sinclair 1975	temperate and tropical grasslands	terrestrial	239.075000	.	173.740000	.	.	.	65.700000	27.480916	0.337866414	.	.	1.440000	.	.	.	.	.	.
Smith and Clymo 1984*	temperate and tropical grasslands	terrestrial	2200.000000	.	.	.	.	.	.	.	.	.	211.999300	.	.	.	.	.	.	.
Strugnell and Pigott 1978@	temperate and tropical grasslands	terrestrial	306.600000	.	146.000000	.	145.990000	.	164.250000	53.571429	.	310.240000	.	1.600000	.	0.027248	.	.	1.600000	.
Thornton 1971	temperate and tropical grasslands	terrestrial	190.000750	.	143.999800	.	.	.	46.000950	24.210931	.	.	.	.	.	.	.	.	.	.
Van Hook 1971@	temperate and tropical grasslands	terrestrial	127.385000	.	81.760000	.	33.851500	.	12.300500	9.656160	0.267073789	46.152000	.	.	.	0.001469	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	87.965000	.	87.600000	.	57.934127	.	.	.	.	.	.	.	.	0.002953	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	140.160000	.	139.795000	.	100.810204	.	.	.	.	.	.	.	.	0.003491	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	500.050000	.	499.685000	.	489.373223	.	.	.	.	.	.	.	.	0.010571	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	247.835000	.	247.470000	.	182.182036	.	.	.	.	.	.	.	.	0.003651	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	368.650000	.	368.285000	.	320.801417	.	.	.	.	.	.	.	.	0.005611	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	700.800000	.	700.435000	.	687.377436	.	.	.	.	.	.	.	.	0.010870	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	100.010000	.	99.645000	.	48.653371	.	.	.	.	.	.	.	.	0.001832	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	100.010000	.	99.645000	.	73.076672	.	.	.	.	.	.	.	.	0.003605	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	540.200000	.	539.835000	.	485.056388	.	.	.	.	.	.	.	.	0.006271	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	598.600000	.	598.235000	.	597.920857	.	.	.	.	.	.	.	.	0.018636	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	267.910000	.	267.545000	.	165.691374	.	.	.	.	.	.	.	.	0.002648	.	.	.	.
Whealer and Shaw 1991@	temperate and tropical grasslands	terrestrial	278.130000	.	277.765000	.	214.893291	.	.	.	.	.	.	.	.	0.004071	.	.	.	.
Wiegert and Evans 1964 ¶	temperate and tropical grasslands	terrestrial	594.950000	408.800000	586.774000	383.250000	286.561500	.	8.176000	1.374233	.	294.737500	308.461500	.	.	0.006726	.	.	.	.
Wiegert and Evans 1964 ¶	temperate and tropical grasslands	terrestrial	199.509000	127.750000	196.954000	124.830000	130.232000	.	2.555000	1.280644	.	132.787000	69.204000	.	.	0.004935	.	.	.	.
Zak et al. 1994*	temperate and tropical grasslands	terrestrial	92.5	.	.	.	.	2.5	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical grasslands	terrestrial	112.5	.	.	.	.	16.2	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical grasslands	terrestrial	41	.	.	.	.	2.9	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical grasslands	terrestrial	235	.	.	.	.	134.2	.	.	.	.	.	.	.	.	.	.	.	.
Zak et al. 1994*	temperate and tropical grasslands	terrestrial	46.5	.	.	.	.	43	.	.	.	.	.	.	.	.	.	.	.	.
Brown et al. 1984	mangroves	terrestrial	118.004500	.	.	.	.	.	.	.	.	.	.	.	0.003390	.	.	.	.	.
Christensen 1978	mangroves	terrestrial	1080.400000	.	1064.340000	.	.	.	16.060000	1.486486	.	.	.	.	.	.	.	.	.	.
Emmerson and McGwynne 1992@	mangroves	terrestrial	525.600000	.	496.400000	.	354.050000	.	29.200000	5.555556	.	383.250000	128.845000	.	.	.	.	.	.	.
Flores-Verdugo et al. 1987	mangroves	terrestrial	463.550000	.	.	.	43.800000	.	.	.	.	.	.	.	.	.	.	.	.	.
Golley et al. 1962	mangroves	terrestrial	1438.892050	.	1402.392050	.	540.200000	.	36.500000	2.536674	.	576.700000	43.800000	.	.	.	.	.	.	.
Johnstone 1981	mangroves	terrestrial	1533.000000	.	1499.420000	.	.	.	33.580000	2.190476	.	.	.	.	.	.	.	.	.	.
Lee 1989	mangroves	terrestrial	876.000000	.	828.550000	.	611.375000	.	47.450000	5.416667	.	658.825000	212.430000	.	.	0.001800	.	.	.	.
Li and Lee 1998	mangroves	terrestrial	700.800000	.	674.593000	.	259.150000	.	26.207000	3.739583	.	285.357000	102.200000	.	.	.	.	.	.	.
