Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
East Alaska;East Alaska;NorthAmerica;62.708;-142.02;42;42;1970-71;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
East-central Ontario;East-central Ontario;NorthAmerica;47.1536;-82.0362;454.53;454.53;1946-53;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
East-central Ontario;East-central Ontario;NorthAmerica;47.1536;-82.0362;263.06;263.06;1979;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
El Mirador-Rio Azul National Park;El Mirador-Rio Azul;NorthAmerica;17.4;-89.62;518;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Novack_et_al._(2005);Not included in Hatton
Interior Alaska;Interior Alaska;NorthAmerica;63.46288;-150.5826554;68.55;68.55;1975-79;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;528.6;528.6;1980-84;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;484.8;484.8;1975-78;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;300;300;1980-84;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;333;333;1985-86;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;360;360;1981;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;411;411;1982;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;423;423;1986;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;519;519;1976;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Isle Royale Michigan;Isle Royale;NorthAmerica;48.0424;-88.7549;747;747;1986-1987;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Jasper Park Alberta;Jasper Park;NorthAmerica;52.9411;-117.9231;173.9;173.9;1980;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Kenai Peninsula Alaska;Kenai Peninsula;NorthAmerica;60.3049274;-150.5767184;241.17;240;1986;0;1;NA;NA;Hatton et al. 2014;Messier 1994;
Kenai Peninsula Alaska;Kenai Peninsula;NorthAmerica;60.3049274;-150.5767184;240;#REF!;1982;0;1;NA;NA;Hatton et al. 2014;Messier 1994;
Mayo Yukon;Mayo Yukon;NorthAmerica;63.8628637;-135.5834031;42;42;1981;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
Nisutlin Yukon;Nisutlin Yukon;NorthAmerica;60.2775;-132.6212;39;39;1987;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
North-central Canada;North-central Canada;NorthAmerica;60.25;-100.75;495;495;1990;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
North-central Minnesota;North-central Minnesota;NorthAmerica;47.8898;-94.2293;437.2;437.2;1984;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
North-central Minnesota;North-central Minnesota;NorthAmerica;47.8898;-94.2293;420;420;1966-1974;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Northeast Alberta;Northeast Alberta;NorthAmerica;57.158409;-112.215823;69.03;69.03;1959-1960;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;GPS position moved c. 20 km west away from mining area and still within study area in original reference Fuller and Keith 1980.
Northeast Alberta;Northeast Alberta;NorthAmerica;57.158409;-112.215823;69;69;1976-1980;0;0;NA;NA;Hatton et al. 2014;Messier 1994;GPS position moved c. 20 km west away from mining area and still within study area in original reference Fuller and Keith 1980.
Northeast Minnesota;Northeast Minnesota;NorthAmerica;47.2203;-91.8643;567;567;1961-1965;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Northeast Minnesota;Northeast Minnesota;NorthAmerica;47.2203;-91.8643;425;425;1981-1985;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Northeast Minnesota;Northeast Minnesota;NorthAmerica;47.2203;-91.8643;207;207;1971-1975;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Northeast Minnesota;Northeast Minnesota;NorthAmerica;47.2203;-91.8643;357.79;357.79;1966-1970;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Northern Alberta;Northern Alberta;NorthAmerica;59.373346;-113.053244;64.26;64.26;1986-1990;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;GPS position moved to Wood Buffalo NP according to Oosenbrug and Carbyn 1982
Northwest Alberta;Northwest Alberta;NorthAmerica;55.082507;-118.18273;390;390;1988;0;0;NA;NA;Hatton et al. 2014;Messier 1994;GPS position moved to Simonette River according to Bjorge and Gunson 1989
Northwest Ontario;Northwest Ontario;NorthAmerica;53.3613;-91.19986;90;90;1975-1978;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
South-central Alaska;South-central Alaska;NorthAmerica;61.9832;-149.96478;99;99;1979-1980;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
South-central Alaska;South-central Alaska;NorthAmerica;61.9832;-149.96478;227.49;227.49;1975-1979;0;1;NA;NA;Hatton et al. 2014;Fuller 1989;
South-central Ontario;South-central Ontario;NorthAmerica;48.8098;-84.331;89.97;89.97;1975;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
South-central Yukon;South-central Yukon;NorthAmerica;61.37;-133.68;45;45;1980-1984;0;1;NA;NA;Hatton et al. 2014;Messier 1994;
South-central Yukon;South-central Yukon;NorthAmerica;61.37;-133.68;78;78;1980-1984;0;1;NA;NA;Hatton et al. 2014;Messier 1994;
Southern Quebec;Southern Quebec;NorthAmerica;45.7868;-75.11749;300;300;1980-1984;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Southwest Manitoba;Southwest Manitoba;NorthAmerica;51.7589;-100.7852;504;504;1984;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Southwest Quebec;Southwest Quebec;NorthAmerica;46.8462;-75.6756;90;90;1983;0;0;NA;NA;Hatton et al. 2014;Fuller 1989;
Southwest Quebec;Southwest Quebec;NorthAmerica;46.8462;-75.6756;51;51;1983;0;0;NA;NA;Hatton et al. 2014;Messier 1994;
