Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
Lopé;Lopé;Africa;-0.5087362;11.5506372;3099;NA;;NA;NA;0;NA;Rodriguez et al. 2014;"White_(1994);_Morgan_(2007)";Not included in Hatton. Biomass adjusted to include primate biomass from the original reference.
Luangwa Valley;Luangwa;Africa;-12.68;31.65;8555;NA;;NA;NA;0;NA;Rodriguez et al. 2014;East_(1984);Not included in Hatton
Marahoué;Marahoué;Africa;7.0904411;-6.0277161;1478;NA;;NA;NA;0;NA;Rodriguez et al. 2014;"Hoppe-Dominik_(1989);_Bodendorfer_et_al._(2006)";Not included in Hatton
Masai Mara National Reserve Kenya;Masai Mara;Africa;-1.51151;35.09316;6916.978443;6767.647904;1992;2053.982036;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;Excluded. Because it does not include migrating species
Masai Mara National Reserve Kenya;Masai Mara;Africa;-1.51151;35.09316;6118.388853;5723.222933;2003;2189.746667;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;Excluded. Because it does not include migrating species
Masai Mara National Reserve Kenya;Masai Mara;Africa;-1.51151;35.09316;14237.03832;14087.70778;1992;2053.982036;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;"Migratory; values for migrating zebra and wildebeest from Hatton is multiplied with 6/12 and 3/12, respectively (reflecting the time of year they stay in Mara) Broten and Said 1995 in Sinclair 1995 p. 182"
Masai Mara National Reserve Kenya;Masai Mara;Africa;-1.51151;35.09316;12056.33139;11661.16547;2003;2165.08;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;"Migratory; values for migrating zebra and wildebeest from Hatton is multiplied with 6/12 and 3/12, respectively (reflecting the time of year they stay in Mara) Broten and Said 1995 in Sinclair 1995 p. 182"
Masai Mara;Masai Mara;Africa;-1.44;35.07;14676;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Bhola_et_al._(2012);Not included in Hatton
Mkomasi_Game_Reserve;Mkomasi;Africa;-4.16;38.28;1731;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton
Mkomazi Game Reserve Tanzania;Mkomasi;Africa;-4.18676;38.27582;768.5208012;765.4391371;1970;503.0816641;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Mkomazi Game Reserve Tanzania;Mkomasi;Africa;-4.18676;38.27582;2967.241911;2964.160247;1970;2660.246533;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
