cPn.g_m2_yr, aPn.g_m2_yr
601.1716445709535, 1410.985017034588
541.4716661967861, 1141.2196290094116
498.42742834886184, 1061.8204421859973
459.6390637260061, 1000.1956515093354
259.6936378159945, 1102.2007398072694
315.9937183184385, 952.4458137030781
550.3289730673471, 961.2487729321564
605.7522449538781, 1024.9224696926972
498.1416503340682, 826.4245026341614
576.2831421541819, 680.797279900543
503.686468456289, 704.0037228134413
406.8348952619048, 663.4549475035744
251.92735984818887, 552.9621162971591
178.309403387443, 579.3098528877279
138.94857694097487, 508.270692015313
152.13693794065443, 451.74099272760645
164.97068057966277, 424.50603088984076
157.05494659778083, 402.55637718621915
182.89181535841686, 470.49228773000095
101.38575163354267, 202.8763489254452
252.18913432132797, 414.8620419088245
262.67415305428074, 339.507678302723
290.59027199862277, 315.37189072048
287.8398284426117, 288.1776896138256
393.3680025996287, 393.56863597610027
412.4268146734102, 549.4037044711122
477.99362094558086, 477.0438959106789
504.90023244939147, 458.1417862031715
